Saya bersedia menjadi responden dalam penelitian ini dan memahami bahwa data yang diberikan hanya akan digunakan untuk keperluan akademik serta dijaga kerahasiaannya.  ,NIM/NPM (Nomor Induk/Pokok Mahasiswa),Preferensi Wisata,Budget,Transportasi,Durasi Perjalanan,Subpreferensi_Utama,Motor,Mobil,Umum,Budget_Ordinal,Durasi_Ordinal,Cluster_ID
"Ya, saya bersedia mengikuti survei ini.",50423495,Wisata Alam,Lebih dari Rp300.000,Mobil Pribadi,2 hari/Menginap,Pantai,0,1,0,3,1,1
"Ya, saya bersedia mengikuti survei ini.",225050107111083,Wisata Alam,Rp150.000 – Rp300.000,"Sepeda Motor Pribadi, Mobil Pribadi",1 hari (tanpa menginap),Goa,1,1,0,2,0,2
"Ya, saya bersedia mengikuti survei ini.",50423557,Wisata Budaya dan Sejarah,Kurang dari Rp50.000,Sepeda Motor Pribadi,1 hari (tanpa menginap),Museum,1,0,0,0,0,0
"Ya, saya bersedia mengikuti survei ini.",20230801447,Wisata Alam,Rp150.000 – Rp300.000,Sepeda Motor Pribadi,2 hari/Menginap,Pantai,1,0,0,2,1,0
"Ya, saya bersedia mengikuti survei ini.",51423014,Wisata Edukasi,Rp50.000 – Rp150.000,Sepeda Motor Pribadi,2 hari/Menginap,Agrowisata Edukatif,1,0,0,1,1,0
"Ya, saya bersedia mengikuti survei ini.",50423444,Wisata Edukasi,Rp50.000 – Rp150.000,Transportasi Umum Konvensional,1 hari (tanpa menginap),Wisata Sains dan Teknologi,0,0,1,1,0,3
"Ya, saya bersedia mengikuti survei ini.",13220006,Wisata Alam,Rp150.000 – Rp300.000,Transportasi Umum Konvensional,2 hari/Menginap,Pegunungan,0,0,1,2,1,3
"Ya, saya bersedia mengikuti survei ini.",50423341,Wisata Kota/Urban,Kurang dari Rp50.000,Transportasi Umum Konvensional,2 hari/Menginap,Landmark dan Monumen,0,0,1,0,1,3
"Ya, saya bersedia mengikuti survei ini.",123140023,Wisata Hiburan,Rp50.000 – Rp150.000,Sepeda Motor Pribadi,1 hari (tanpa menginap),Theme Park/Wahana,1,0,0,1,0,0
"Ya, saya bersedia mengikuti survei ini.",50423045,Wisata Kota/Urban,Rp150.000 – Rp300.000,Sepeda Motor Pribadi,1 hari (tanpa menginap),Spot Foto Kontemporer,1,0,0,2,0,0
"Ya, saya bersedia mengikuti survei ini.",50423172,Wisata Edukasi,Rp50.000 – Rp150.000,"Sepeda Motor Pribadi, Mobil Pribadi",1 hari (tanpa menginap),Wisata Sains dan Teknologi,1,1,0,1,0,0
"Ya, saya bersedia mengikuti survei ini.",51423073,Wisata Kota/Urban,Kurang dari Rp50.000,Sepeda Motor Pribadi,2 hari/Menginap,Spot Foto Kontemporer,1,0,0,0,1,0
"Ya, saya bersedia mengikuti survei ini.",4210026,Wisata Hiburan,Lebih dari Rp300.000,Transportasi Umum Konvensional,1 hari (tanpa menginap),Theme Park/Wahana,0,0,1,3,0,3
"Ya, saya bersedia mengikuti survei ini.",-,Wisata Alam,Rp150.000 – Rp300.000,Transportasi Umum Konvensional,1 hari (tanpa menginap),Pantai,0,0,1,2,0,3
"Ya, saya bersedia mengikuti survei ini.",51423198,Wisata Alam,Rp50.000 – Rp150.000,Sepeda Motor Pribadi,1 hari (tanpa menginap),Pantai,1,0,0,1,0,0
"Ya, saya bersedia mengikuti survei ini.",50423336,Wisata Alam,Rp50.000 – Rp150.000,"Sepeda Motor Pribadi, Transportasi Umum Konvensional",2 hari/Menginap,Pantai,1,0,1,1,1,3
